ISBN,title,publish_date,no_pages,series,author,publisher,description
9788381438681,Mentalista ,22/03/2022,680,Mentalista ,Henrik Fexeus,Czarna Owca,Pierwsza część nowej serii kryminalnej Camilli Läckberg i Henrika Fexeusa!
9788381788168,Nieznajomy z samolotu ,26/09/2019,479,Bracia Miles ,T.L. Swan,NieZwykłe,"Podróż powrotna Emily Foster ze ślubu koleżanki zaczęła się gorzej niż źle. Kiedy kobieta czeka na odprawę, jakiś pijany facet próbuje zniszczyć jej bagaż. Na szczęście obsługa lotniska jako rekompensatę proponuje dziewczynie lot w pierwszej klasie."
9788382153767,Życie Violette ,14/05/2021,480,,Valerie Perrin,Albatros,Oda do szczęścia i pochwała radości z małych rzeczy.
9788328720220,Krew i popiół ,30/03/2020,512,Krew i popiół ,Jennifer L. Armentrout,You&Ya,"Poppy jest Panną. Jej życie jest pełne samotności. Nikt nie może jej dotknąć. Tylko garstka wybrańców może zobaczyć jej twarz albo z nią porozmawiać. Jej egzystencja jest pozbawiona wszelkiej przyjemności. Poświęcona bogom, ma tylko jedno zadanie - przygotować się do Ascendencji, rytuału, który ma zapoczątkować nową erę."
9788381959865,Obrazy z przeszłości ,18/05/2022,464,Seweryn Zaorski ,Remigiusz Mróz,Filia,"Dwadzieścia lat temu w Żeromicach zaginęła jedna z mieszkanek – prowadzący postępowanie policjanci nigdy nie ustalili, co stało się z dziewczyną, a śledczy nie odnaleźli żadnego tropu, który pozwoliłby wyjaśnić zagadkę. Pierwsze ślady pojawiły się dopiero dwie dekady później, kiedy w okolicznych lasach zaczęto odkrywać rzeczy mogące należeć do zaginionej."
9788381392686,Gdzie śpiewają raki ,30/10/2019,416,,Delia Owens,Świat Książki,"Pogłoski o Dziewczynie z Bagien latami krążyły po Barkley Cove, sennym miasteczku u wybrzeży Karoliny Północnej. Dlatego pod koniec 1969 roku, gdy na mokradłach znaleziono ciało przystojnego Chase’a Andrewsa, miejscowi zwrócili się przeciwko Kyi Clark, zwanej Dziewczyną z Bagien."
9788382158571,Zachowaj spokój ,17/04/2008,432,,Harlan Coben,Albatros,Nie ufaj nikomu. Zwłaszcza własnej rodzinie.
9788380539525,"To, co najcenniejsze ",18/08/2020,480,Hart's Boardwalk ,Samantha Young,Słowne (dawniej Burda Media Polska),"Samantha Young, mistrzyni miłosnych historii, porywa pełnym pasji, namiętności i napięcia nowym tomem swojej bestsellerowej serii."
9788328021419,Dwór cierni i róż ,05/05/2015,524,Dwór cierni i róż ,Sarah J. Maas,Uroboros,"Autorka bestsellerowej serii Szklany Tron powraca z porywającą opowieścią o miłości, która jest w stanie pokonać nienawiść i uprzedzenia!"
9788381398688,Informacja zwrotna ,19/05/2021,528,,Jakub Żulczyk,Świat Książki,Nazywam się Marcin Kania. Jestem alkoholikiem i zaraz zabiję człowieka.
9788328717701,Miłość na później ,24/03/2020,544,,Mhairi McFarlane,Muza,"Jeśli udawanie miłości jest aż tak łatwe... skąd wiadomo, kiedy jest ta prawdziwa?"
9788376867243,Okrutny książę ,01/01/2018,423,Okrutny książę ,Holly Black,Jaguar,"Krwawa zbrodnia na zawsze odmienia los trzech sióstr. Zostają porwane do świata elfów, bajecznego Elysium. Upływa dziesięć lat; Jude pragnie za wszelką cenę odnaleźć swoje miejsce w krainie elfów – lecz dumni elfowie gardzą śmiertelniczką, a wzgardliwszy od innych jest książę Cardan, najmłodszy i najokrutniejszy z potomków Najwyższego Króla."
9788381250702,Filary Ziemi ,01/01/1989,832,Filary Ziemi ,Ken Follett,Albatros,"Walka o władzę, konflikty między monarchią, klerem i narodem, intrygi, seks, miłość, zdrada, mroczne tajemnice, krwawe zbrodnie, akty nienawiści i desperacji"
9788382154115,Terapeutka ,14/04/2021,384,,B.A. Paris,Albatros,NOWA POWIEŚĆ AUTORKI BESTSELLEROWEGO ZA ZAMKNIĘTYMI DRZWIAMI. B.A. PARIS W WIELKIM STYLU POWRACA DO GATUNKU THRILLERA PSYCHOLOGICZNEGO! 
9788382156133,Bez pożegnania ,01/01/2002,416,,Harlan Coben,Albatros,Bestsellerowy thriller Harlana Cobena już 13 sierpnia na NETFLIX!
9788381956017,Mroczne sekrety ,11/08/2021,336,,Marcel Moss,Filia,"Dorota od lat żyje pod jednym dachem z mężem despotą, stwarzając na zewnątrz pozory normalności. Kobieta obmyśla w tajemnicy plan uwolnienia się od agresywnego partnera."
9788379645282,Wojna makowa ,01/05/2018,640,Wojna makowa ,Rebecca F. Kuang,Fabryka Słów,"Kiedy jesteś sierotą wojenną świat ma dla ciebie głównie pogardę, odrzucenie, brutalność i ból. Czasem, jeśli akurat masz szczęście, obojętność. Jeśli natomiast do tego jesteś dziewczynką, szczęście ma twoja przybrana rodzina. Zawsze może ubić interes i sprzedać cię na żonę jakiemuś zamożnemu staruchowi. Rin doświadczyła tego wszystkiego. Jest nikim, jej życie nie ma dla nikogo żadnego znaczenia, nikogo też nie obchodzi jej los. Jeśli chce wydostać się z rynsztoka, w którym się wychowała, ma tylko dwie drogi. Pierwsza wiedzie przez łóżko obmierzłego starca. Druga, przez bramę Akademii Sinegradzkiej – elitarnej szkoły wojskowej. Aby podążyć tą drugą drogą, Rin zrobi wszystko, co tylko leży w ludzkiej mocy. A nawet więcej. To nie jest historia o potędze nauki, sile przyjaźni czy starciach wielkiej magii. To jest historia o kołach czasu, które nieustępliwie i bezlitośnie mielą ludzkie losy. I o dziewczynie, która zniszczyła cały mechanizm. Kamieniem, bo na miecz była za biedna. "
9788381883313,Skazana ,08/05/2018,288,X-Varia ,Ewa Ornacka,Rebis,Wstrząsająca opowieść z najcięższego w Polsce więzienia dla kobiet
9788381786065,Devil ,28/07/2021,354,Inferno ,Julia Brylewska,NieZwykłe,"Wracając do Filadelfii, dwudziestoczteroletnia Hailey Warren ma prosty plan. Zamierza spędzić czas z bliskimi, znaleźć pracę i wynająć małe mieszkanie w centrum. Los oferuje jej jednak całkiem inny scenariusz, gdy na jaw wychodzi prawda."
9788366967458,Wróć przed zmrokiem ,30/06/2020,416,,Riley Sager,Mova,Każdy dom skrywa jakąś historię i sekrety. Niektóre są naprawdę przerażające. 
9788328719316,Parker Rain ,15/09/2021,320,Niepokonani ,Anna Wolf,Muza,"Parker Rain mieszka w Newport News, jest właścicielem baru i ma reputację mordercy. Przesiedział - jak się okazało niesłusznie - rok w więzieniu. Podczas studiów dorabiał uczestnictwem w nielegalnych walkach. Obecnie stara się wieść spokojnie życie, jednak wprowadzenie się tajemniczej blondynki do domu obok, niweczy jego plan. Corina Winchester uciekła z miasta, które kochała, a w którym zaznała wiele cierpienia. Kroplą, która przelała czarę goryczy, było porzucenie jej przed ołtarzem. Od chwili pierwszego spotkania tych dwoje od razu przypada sobie do gustu. Mimo że oboje w przeszłości poznali smak zdrady, chcą dać sobie szansę, ale na horyzoncie zbierają się ciemne chmury; były narzeczony Coriny nie zamierza dać jej spokoju a brat Parkera za wszelką cenę próbuje wciągnąć go w rządzony przez mafię świat nielegalnych walk."
9788328061477,Pacjentka ,13/03/2019,352,,Alex Michaelides,W.A.B.,Najbardziej oczekiwany thriller psychologiczny 2019 roku!
9788366939202,Łowca ,29/07/2021,512,Komisarz Sikora ,Piotr Kościelny,Skarpa Warszawska,Thriller roku 2021 w plebiscycie Złoty Kościej 2021.
9788381786690,Złączeni przeszłością ,20/05/2020,423,Born in Blood Mafia Chronicles ,Cora Reilly,NieZwykłe,~Dante
9788328079755,Centrala Europa ,01/01/2005,896,,William T. Vollmann,W.A.B.,Napisana z rozmachem panoramiczna powieść historyczna nagrodzona National Book Award.
9788381956062,Bestia z Buchenwaldu ,02/09/2021,328,,Max Czornyj,Filia,WYDARZENIA W TEJ KSIĄŻCE SĄ OPARTE NA FAKTACH. PRAWDA BYWA BARDZIEJ PRZERAŻAJĄCA OD NAJWYMYŚLNIEJSZEJ FIKCJI. CZŁOWIEK JEST ZDOLNY DO WSZYSTKIEGO.
9788328037342,Małe życie ,10/03/2015,817,Kolekcja 70 lat Empik ,Hanya Yanagihara,W.A.B.,"Zachwycająca powieść o przyjaźni poddanej ogromnej próbie. Oto historia życia czterech przyjaciół – o ich niełatwym dojrzewaniu, ogromnych sukcesach, bolesnych wyborach i tyranii pamięci, od której nie sposób czasem się uwolnić…"
9788366657496,Arystoteles i Dante odkrywają sekrety wszechświata ,23/10/2013,384,Arystoteles i Dante ,Benjamin Alire Sáenz,We need YA,Zdobywca Pen/Faulkner Award za najlepszą amerykańską książkę prozatorską. Niezwykła opowieść o rodzinie i przyjaźni!
9788366328600,Wnyki ,10/09/2021,464,Kościół Chrystusa Mściwego ,Michał Śmielak,Initium,"Zdegenerowani księża, wioska spowita zmową milczenia, policjant pokłócony z Bogiem i tajemniczy Kościół Chrystusa Mściwego. Z której strony nadejdzie zagrożenie? "
9788326837388,"Gomora. Władza, strach i pieniądze w polskim Kościele ",29/09/2021,384,,Artur Nowak,Agora,"Zmieniają się księża, zmieniają się biskupi, a patologie w polskim Kościele pozostają. Nierozliczone przestępstwa, w tym pedofilia, brak kontroli nad finansami, arbitralność awansów, wykluczenie kobiet, feudalny model władzy, afery seksualne, skorumpowani biskupi, rozpusta, kolesiostwo, cynizm, związki z władzą, hipokryzja... Przez media co i rusz przewijają się kolejne skandale, które pokazują, że hierarchowie mają na sumieniu bodaj wszystkie grzechy główne."
9788366839847,Ostatni dom na zapomnianej ulicy ,18/03/2021,400,,Catriona Ward,Czwarta Strona,"Oto historia seryjnego mordercy, ale nie tylko. To także opowieść o porwanym dziecku, zemście i śmierci. Oraz o pewnym zwyczajnym domu na końcu zupełnie przeciętnej ulicy."
9788308068144,Sapiens. Od zwierząt do bogów ,14/11/2018,544,,Yuval Noah Harari,Wydawnictwo Literackie,"Światowy hit. Książka, dzięki której rozpoczęła się międzynarodowa kariera Harariego."
9788324073139,Ucieczka od bezradności ,06/09/2021,362,,Tomasz Stawiszyński,Znak Literanova,"CZEGO OBAWIA SIĘ WSPÓŁCZESNA KULTURA? JAKIE TEMATY WYPIERA? I JAK MOŻEMY PORADZIĆ SOBIE W ŚWIECIE, W KTÓRYM NIE MA MIEJSCA NA BEZRADNOŚĆ?"
9788328718104,Gorąca sesja ,18/04/2017,400,Game On ,Kristen Callihan,Muza,"Co mogę powiedzieć na temat Chess Copper? Ta kobieta rzuca mnie na kolana. Wiem to po jakichś pięciu minutach od momentu, gdy się dla niej rozebrałem."
9788379859382,Za zamkniętymi drzwiami ,11/02/2016,304,,B.A. Paris,Albatros,Perfekcyjna para? Doskonałe małżeństwo? Czy idealne kłamstwo?
9788366671492,Ekstaza. Lata 90. Początek ,15/09/2021,350,,Anna Gacek,Marginesy,"Muzyka, filmy, seriale, teledyski, moda, media, idole i ikony, rewolucja w rytmie Smells Like Teen Spirit."
9788366967465,Nie do naprawienia ,07/02/2013,280,Rozdzieleni ,Tijan Meyer,Niegrzeczne książki,Śmierć brata ją złamała. Miłość do jego najlepszego przyjaciela ją zniszczyła.
9788324056484,After. Płomień pod moją skórą ,21/10/2014,656,After ,Anna Todd,Znak,Największy fenomen książkowy ostatnich lat.
9788366863088,Wilkołak ,01/01/2021,472,Detektyw Dawid Wolski ,Wojciech Chmielarz,Marginesy,"Prywatny detektyw Dawid Wolski nie spocznie. Na cmentarzu, na pogrzebie swojego ojca, mecenasa Wolskiego, który doprowadził do uwolnienia mordercy Igi, kobiety jego życia – widzi ją z daleka i już wie, że przeszłość wróciła i niemożliwe stało się możliwe. Dziewczyna jest dziesięć lat starsza, zmieniona, ale to Iga. Tylko on ją zobaczył, tylko on ją rozpoznał. Nikt mu nie wierzy, lecz on jest pewien – Iga żyje. Żyje i z jakiegoś powodu znowu znika. Od chwili jej śmierci Wolski wie, że coś jest nie tak i teraz ma pretekst, żeby to sprawdzić. Dopuszcza się profanacji i w niebezpieczną grę wciąga jedynego przyjaznego mu człowieka – prokuratora Adama Górnika. Prawda okaże się jednak zbyt trudna do przyjęcia, ale dla Wolskiego nie ma ratunku…"
9788328069930,Kasztanowy ludzik ,02/10/2019,564,,Soren Sveistrup,W.A.B.,"Jeżeli znalazłeś kasztanowego ludzika, to znaczy, że jest już za późno..."
9788308061008,Głód ,30/03/2016,716,,Martín Caparrós,Wydawnictwo Literackie,Reportaż totalny. Kronika naszych czasów. Jedna z ważniejszych książek non-fiction ostatnich lat.
9788395929823,Wolna. O trudnej sztuce kończenia niezdrowych relacji. ,26/10/2020,260,,Damian Poprawa,Wydawnictwo Łobuz,"Co zrobić, jeśli ktoś kogo kochałaś zupełnie na to nie zasługiwał, a świat, w który zostałaś rzucona nie spełnia Twoich oczekiwań. "
9788396095152,Jego druga żona ,28/09/2021,368,Seria arabska ,Beata Majewska,Miraż,"Druga część bestselleru „Jego wysokość” to najgorętsza historia, jaką przeczytacie w tym roku. Pełna namiętności, dramatów i rozterek Izabelli – kobiety, która została tą drugą. Jego drugą żoną. Premiera już 28 września."
9788382342239,Szreń ,07/09/2021,512,Lena Rudnicka ,Kinga Wójcik,Prószyński i S-ka,"Od tragicznych wydarzeń, których komisarz Lena Rudnicka była spiritus movens, minęło kilka miesięcy. W konsekwencji została karnie przeniesiona do Białych Brzegów, gdzie szybko się przekonała, że na wiejskim komisariacie czas płynie dwa razy wolniej. Sytuacja ulega zmianie, gdy na corocznym Festynie Lodu dochodzi do brutalnego gwałtu ze skutkiem śmiertelnym. Ofiarą jest młoda mieszkanka Białych Brzegów, Karina Cieślak. Ludzie niechętnie rozmawiają z policją. Każdy z nich ma coś do ukrycia: gospodarze, którzy znaleźli zwłoki, ich syn, który adorował Karinę, jej przyjaciółki, lokalny pijak, a nawet ksiądz. Komisarz nikomu nie może ufać, nawet swojemu nowemu partnerowi. Tymczasem w Białych Brzegach pojawia się Marcel Wolski, a wkrótce potem prokurator Nawrocki… Śledztwo nabiera tempa. "
9788379644964,Pan Lodowego Ogrodu - księga I ,01/01/2005,660,Pan Lodowego Ogrodu ,Jarosław Grzędowicz,Fabryka Słów,"Władza uzależnia, szczególnie w połączeniu z magią. Wyobraź sobie, że stałeś się bogiem – ktoś miałby cię tego stanu pozbawić?"
9788377313947,Lęk ,15/09/2021,344,,Tomasz Sablik,Vesper,"W Księdze Rodzaju zapisano, że na początku była ciemność. Ale to nieprawda. Na początku i na końcu zawsze jest tylko lęk."
9788378187929,Zabić drozda ,11/07/1960,424,Zabić drozda ,Harper Lee,Rebis,"Lata trzydzieste XX wieku, małe miasteczko na południu USA. Atticus Finch, adwokat i głowa rodziny, broni młodego Murzyna oskarżonego o zgwałcenie biednej białej dziewczyny Mayelli Ewell. Prosta sprawa sądowa z powodu wszechpanującego rasizmu, urasta do rangi symbolu. W codziennej walce o równouprawnienie czarnych jak echo powraca pytanie o to, gdzie przebiegają granice ludzkiej tolerancji. Zabić drozda to wstrząsająca historia o dzieciństwie i kryzysie sumienia. Poruszająca opowieść odwołuje się do tego, co o życiu człowieka najcenniejsze: miłości, współczucia i dobroci. "
9788308049051,Solaris ,01/01/1961,340,Lem ,Stanisław Lem,Wydawnictwo Literackie,Najsłynniejsza powieść Stanisława Lema w nowym wydaniu! Dzieło przetłumaczone na kilkadziesiąt języków i dwukrotnie przeniesione na ekran.
9788366967250,W ciemnościach ,11/08/2021,397,Niegrzeczne książki ,Adelina Tulińska,Wydawnictwo Kobiece,"Naprawdę niezwykła historia zaczyna się wtedy, gdy Piękna staje się Silną. Czy będzie w stanie przeniknąć ciemności, w których ukrył się książę?"
9788382342307,One Last Stop ,01/06/2021,512,,Casey McQuiston,Prószyński i S-ka,"Nowa powieść Casey McQuiston to historia o dwóch dziewczynach, które czują do siebie prawdziwy pociąg…"
9788366657311,Niewidzialne życie Addie LaRue ,06/10/2020,608,,Victoria Schwab,We need YA,"Nigdy nie módl się do bogów, którzy odpowiadają po zmroku”."
9788381166102,Oko świata ,01/01/1990,956,Koło Czasu ,Robert Jordan,Zysk i S-ka,"Rand, Mat i Perrin mieszkają w Polu Emonda, sennej wiosce gdzieś na końcu świata. Chłopcy wiodą monotonne życie, nieświadomi, że dni ich beztroski dobiegają końca. Oto do wioski przybywa tajemnicza kobieta imieniem Moraine. Jest ona członkinią potężnego zakonu kobiet władających Jedyną Mocą - Aes Sedai. Przynosi ze sobą ostrzeżenie przed mrocznymi siłami Czarnego, który budzi się z uśpienia, by zapanować nad wszystkimi istotami. Na potwierdzenie jej słów wioskę atakują krwiożercze trolloki - dzikie bestie, które wielu uważało za stwory wyłącznie z legend. Gdy Pole Emonda staje w ogniu, Moraine pomaga chłopcom w ucieczce, jest bowiem przekonana, że jeden z nich jest Smokiem Odrodzonym - wybrańcem, którego przeznaczeniem jest przeciwstawić się Czarnemu i stanąć kiedyś do Ostatniej Bitwy, Tarmon Gai'Don, od której wyniku zależą losy świata... "
9788381298032,Panie czarowne ,01/09/2021,464,Imaginatio [SQN] ,Jakub Ćwiek,Sine Qua Non,Zawsze są przynajmniej trzy. 
9788379646432,Cień utraconego świata ,04/08/2014,880,Trylogia Licaniusa ,James Islington,Fabryka Słów,"Nie ufaj niczemu, nawet własnemu umysłowi"
9788324061037,"Gorzko, gorzko ",25/11/2020,656,,Joanna Bator,Znak,"""Gorzko, gorzko"" to opowieść o pragnieniu miłości i wolności, które dojrzewa w życiu i marzeniach czterech pokoleń kobiet. Dlaczego Berta popełniła zbrodnię? Kiedy Barbara nauczyła się tak dobrze rzucać nożem? Dlaczego Violetta otworzyła wek Pandory i co w nim było? Czy Kalinie uda się poznać prawdę? Historię Berty, Barbary i Violetty opowiada Kalina, która w Wałbrzychu, Unisławiu Śląskim i Sokołowsku odnajduje brakujące fragmenty rodzinnej historii i zszywa je w całość. Mozolnie rekonstruując pamięć swej naznaczonej traumą rodziny, mierzy się zarazem z własną miłosną utratą."
9788380313712,Słowik ,03/02/2015,560,,Kristin Hannah,Świat Książki,"Dwie siostry, Isabelle i Vianne, dzieli wszystko: wiek, okoliczności, w jakich przyszło im dorastać, i doświadczenia. Kiedy w 1940 roku do Francji wkracza armia niemiecka, każda z nich rozpoczyna własną niebezpieczną drogę do przetrwania, miłości i wolności."
9788366736238,Afekt ,23/03/2021,544,Joanna Chyłka ,Remigiusz Mróz,Czwarta Strona,"W nowej kancelarii prawnej Joannie Chyłce zostaje przydzielona sprawa będąca jej zawodowym koszmarem: ma bronić pedofila. Sytuację komplikuje fakt, że oskarżonym jest brat jednego z najważniejszych polityków w Polsce – kandydata na prezydenta, który przed wyborami przoduje w sondażach. Sprawa skupia na sobie uwagę wszystkich mediów, gdyż jej finał przesądzi nie tylko o losie oskarżonego, ale najprawdopodobniej także o wyniku wyborów."
9788365928405,Obca ,01/01/1991,712,Obca ,Diana Gabaldon,Świat Książki,Nie przegapcie żadnej części sagi Diany Gabaldon. W tych bestsellerowych książkach ożywa fascynująca opowieść o podróżniczce w czasie Claire Randall i osiemnastowiecznym Szkocie Jamiem Fraserze.
9788381785792,Złamana duma ,16/04/2019,468,Camorra Chronicles ,Cora Reilly,NieZwykłe,"Trzeci tom nowej serii autorki słynnych „Złączonych""!"
9788381954785,Ekstremista ,19/05/2021,464,Gerard Edling ,Remigiusz Mróz,Filia,"W Opolu znika maturzystka, a jedynym pozostawionym przez nią śladem jest karta tarota z symbolem sprawiedliwości. Rodzina nie zamierza iść na policję, gdyż twierdzi, że dziewczyna zmagała się z problemami i nieraz deklarowała, że któregoś dnia ucieknie z domu."
9788382301830,Bez winy ,15/09/2021,440,Kate Linville ,Charlotte Link,Sonia Draga,"Gdy wiesz zbyt wiele, ciągle towarzyszy ci strach…"
9788328717350,Lupo ,08/05/2020,448,Gangsterzy Nowego Jorku ,Bella Di Corte,Muza,"Pierwsza część trzy tomowej sagi o bezwzględnych, nowojorskich gangsterach"
9788366839113,Shuggie Bain ,20/02/2020,448,,Douglas Stuart,Wydawnictwo Poznańskie,Najgłośniejszy światowy debiut literacki ostatnich lat.
9788396212023,Nie ma mnie bez Ciebie ,10/09/2021,318,,Ewa Pirce,Plectrum,"""W głowie każdego z nas czai się mrok. Coś, co wypełza w środku nocy, nie pozwalając spokojnie zasnąć."""
9788324047987,Zanim się pojawiłeś ,05/01/2012,512,Lou Clark ,Jojo Moyes,Znak Literanova,"Początek historii, która stała się światowym fenomenem."
9788381913157,W ciemnej dolinie. Rodzinna tragedia i tajemnica schizofrenii ,07/04/2020,416,Seria Amerykańska ,Robert Kolker,Czarne,"Galvinowie mogliby być ucieleśnieniem amerykańskiego snu. Dan i Mimi wzięli ślub zaraz po II wojnie światowej, rodzinę zakładali w czasach rosnącego dobrobytu, awansowali do klasy średniej, kupili piękny dom. Marzyli o dużej rodzinie i ich marzenie się spełniło, doczekali się aż dwanaściorga dzieci. Ale za zamkniętymi drzwiami rozgrywał się dramat. Jeden po drugim ich sześciu synów traciło kontakt ze światem. Diagnoza – schizofrenia – w tamtych czasach była jak wyrok dla całej rodziny."
9788379646760,Pustynny książę. Księga I ,03/08/2021,600,Cykl Zmroku ,Peter V. Brett,Fabryka Słów,Ich rodzice ocalili ludzkość. Oni będą musieli ją poprowadzić.
9788377478844,Szklany tron ,08/07/2012,512,Szklany Tron ,Sarah J. Maas,Uroboros,Tylko teraz światowy bestseller Sarah J. Maas w ekskluzywnej oprawie twardej!
9788366981041,Najsłabsze ogniwo ,29/09/2021,386,,Robert Małecki,Czwarta Strona,Zło czai się w każdym z nas. Dlatego wszyscy jesteśmy podejrzani.
9788381956093,Perfekcyjne małżeństwo ,02/09/2021,408,Mroczna strona ,Jeneva Rose,Filia,"WSZYSCY MAMY SWOJE PRAWDY, A TO, CO WIDZI ŚWIAT, TO TYLKO HISTORIE."
9788324584901,Florentyna od kwiatów ,01/09/2021,302,"Florentyna, Nadzieja i Hanula ",Agnieszka Kuchmister,Książnica,"Zachwycająca oda do świata, którego już nie ma."
9788366013568,Dziecko z walizki ,14/09/2021,336,,Paulina Cedlerska,Stara Szkoła,"Las, noc i porzucona walizka. Mazury, jakich nie chcielibyście poznać."
9788366981324,Nie chcesz wiedzieć ,11/08/2021,384,,Bartosz Szczygielski,Czwarta Strona,Śmierć zwykle oznacza koniec.
9788381432979,Piętno ,06/05/2020,461,Igor Brudny ,Przemysław Piotrowski,Czarna Owca,"Igor Brudny to twardy warszawski glina, który woli nie wracać do swojej przeszłości. Tym razem może jednak nie mieć innego wyjścia."
9788379646791,Malowany człowiek ,01/12/2008,800,Cykl Demoniczny ,Peter V. Brett,Fabryka Słów,NOWE JEDNOTOMOWE WYDANIE!
9788328717015,Na jedną noc ,07/10/2014,448,Game On ,Kristen Callihan,Muza,"Zasady: nie całować w usta, nie zostawać na noc, nie mówić nikomu, a przede wszystkim... Nie zakochiwać się."
9788380751606,Behawiorysta ,26/10/2016,496,Gerard Edling ,Remigiusz Mróz,Filia,"Zamachowiec zajmuje przedszkole, grożąc, że zabije wychowawców i dzieci. Policja jest bezsilna, a mężczyzna nie przedstawia żadnych żądań. Nikt nie wie, dlaczego wziął zakładników, ani co zamierza osiągnąć. Sytuację komplikuje fakt, że transmisja na żywo z przedszkola pojawia się w internecie."
9788378899174,Złączeni honorem ,14/12/2014,285,Born in Blood Mafia Chronicles ,Cora Reilly,NieZwykłe,Nawet w piersi zimnego drania bije serce. Ona zamierza wślizgnąć się do jego.
9788367023009,Łańcuch ze złota ,03/03/2020,688,Ostatnie godziny ,Cassandra Clare,Mag,Miłość rani głębiej niż jakiekolwiek ostrze 
9788381436632,Płonące dziewczyny ,28/07/2021,464,,C.J. Tudor,Czarna Owca,Witajcie w miejscowości Chapel Croft.
